x y
1106.232004284003 408.1200868273846
197.246006450448 495.6055097446491
1218.5991322837756 684.5902529674507
893.2858363773785 605.5970726481625
998.0379886660363 1406.7476067270804
709.0617763707315 1089.043959669547
303.12528156583426 202.74412136180445
189.86916071904656 494.8603462337669
199.63446857530892 500.3380837806008
1206.728464548413 677.6472363747832
1206.4516242474106 690.5394498965167
704.5717097171281 1103.9385627741594
699.1295291738381 1095.5264881440794
1002.373869918034 1413.0697041535175
501.2840495371237 1197.386327943123
1096.3993569790684 395.0151769535536
708.8855170997515 1101.1374298411781
1206.416490350693 689.6159070242954
1396.7087742188414 294.68492222272374
1089.2941340061313 404.30000467199363
701.5272693994071 1089.3482511027146
1021.6682274781122 1384.8992234821544
297.47405132264214 190.22068838887475
904.0712191750692 614.115604583467
1196.1279423207236 701.702921686118
898.9483826530545 593.0436183876799
1402.9224896267456 287.12825826431197
309.4526720993085 210.23442437333418
200.05084236500267 505.9550538504388
999.3361521262551 1406.3758624114423
998.6250550622296 1393.3682109805875
309.7457878487741 206.92845665365834
893.4201155748707 618.3995986177587
999.6513303656743 1385.146663659819
1103.30965002609 395.66316008323713
1409.7880165887016 318.9132387164301
913.8474083554647 612.5910664645857
178.70826722516694 481.4396052777677
1404.5886465412032 294.89471613153404
899.6106055746152 604.3442769346176
296.5263970764703 201.3699081649378
1395.4495526237235 308.09621964873935
1102.015491071544 399.6648852386564
1096.4438014628934 402.6924931895147
905.0653840053748 611.6278668434566
889.8497293021493 603.2869327542021
1096.417052017322 392.17249153308836
186.7963567224218 494.6429639885814
1009.2557446547537 1393.5618380180374
1406.763037057092 333.6291095512525
1193.9805315900535 700.6546033288464
890.4208991708515 607.4693657756011
991.5200513656821 1397.5929731023161
311.9188913533371 193.12336478910447
1390.7169103544916 291.7016037622743
1209.7759955112701 686.5836378857693
1405.7045274830411 287.11430852593224
905.879917757282 608.7795246642877
496.10910365811367 1203.5010447082582
1210.4269446815338 704.2570851956103
1206.269042887975 708.9907114704081
489.64637286740447 1209.3345822776266
692.3336745146244 1098.1889672728519
493.06781928360857 1196.0309688540367
994.1992632986389 1395.939954922624
1120.888156683103 408.8901169264368
505.6910379948476 1206.6303727343975
993.9942586871534 1406.2511338951374
500.0472699473493 1201.937465969085
1084.1676287038931 387.6069218495593
307.58387285773796 170.92146232834185
1398.9338232356795 306.2807526757352
200.76855733055316 483.8749538306133
707.9378266123086 1088.96191300581
491.7986074684625 1180.6490712183322
704.0717665460242 1116.189750857808
311.84682794483325 185.03793481488216
1207.203106234895 712.5474872948082
702.5234702912255 1086.0972675895887
308.6928572586238 193.6435264220904
204.80105214359477 496.14708641469093
1108.056967091809 394.43646774739324
1408.1103464202336 316.72630294945765
298.5573954446089 204.8732041142185
705.1675105584453 1093.384666385351
485.7285482389703 1187.3969281400766
210.8810268791606 487.85116278402194
523.2853485640541 1190.9892748317318
201.6992808089835 502.2677658141093
506.6106278975294 1194.1611247389885
